Learnsets population started at 2024-10-15T18:32:16.037Z
Success: Added move acidspray to bulbasaur
Success: Added move bodyslam to bulbasaur
Success: Added move bulletseed to bulbasaur
Success: Added move charm to bulbasaur
Success: Added move curse to bulbasaur
Success: Added move doubleedge to bulbasaur
Success: Added move endure to bulbasaur
Success: Added move facade to bulbasaur
Success: Added move falseswipe to bulbasaur
Success: Added move gigadrain to bulbasaur
Success: Added move ingrain to bulbasaur
Success: Added move energyball to bulbasaur
Success: Added move knockoff to bulbasaur
Success: Added move grassknot to bulbasaur
Success: Added move grassyglide to bulbasaur
Success: Added move grassyterrain to bulbasaur
Success: Added move growl to bulbasaur
Success: Added move grasspledge to bulbasaur
Success: Added move swordsdance to bulbasaur
Success: Added move helpinghand to bulbasaur
Success: Added move facade to venusaur
Success: Added move magicalleaf to bulbasaur
Success: Added move breakingswipe to charmander
Success: Added move charm to ivysaur
Success: Added move petaldance to venusaur
Success: Added move dragondance to charmander
Success: Added move endure to venusaur
Success: Added move sunnyday to ivysaur
Success: Added move grassknot to ivysaur
Success: Added move solarbeam to ivysaur
Success: Added move grassyglide to ivysaur
Success: Added move petalblizzard to venusaur
Success: Added move venoshock to venusaur
Success: Added move solarbeam to venusaur
Success: Added move sludgebomb to ivysaur
Success: Added move swordsdance to ivysaur
Success: Added move amnesia to venusaur
Success: Added move toxic to ivysaur
Success: Added move dragonpulse to charmander
Success: Added move gigaimpact to venusaur
Success: Added move growth to bulbasaur
Success: Added move magicalleaf to ivysaur
Success: Added move charm to venusaur
Success: Added move synthesis to ivysaur
Success: Added move bulldoze to venusaur
Success: Added move growth to ivysaur
Success: Added move poisonpowder to ivysaur
Success: Added move endure to ivysaur
Success: Added move sweetscent to ivysaur
Success: Added move venoshock to ivysaur
Success: Added move grassyglide to venusaur
Success: Added move growth to venusaur
Success: Added move focusblast to charmander
Success: Added move weatherball to charmander
Success: Added move vinewhip to ivysaur
Success: Added move solarbeam to bulbasaur
Success: Added move curse to venusaur
Success: Added move tackle to bulbasaur
Success: Added move bulletseed to venusaur
Success: Added move smokescreen to charmander
Success: Added move takedown to charmeleon
Success: Added move bodyslam to ivysaur
Success: Added move sleeppowder to venusaur
Success: Added move helpinghand to charmander
Success: Added move falseswipe to ivysaur
Success: Added move razorleaf to venusaur
Success: Added move dragonclaw to charizard
Success: Added move thunderpunch to charmander
Success: Added move seedbomb to venusaur
Success: Added move protect to ivysaur
Success: Added move grassknot to venusaur
Success: Added move ember to charizard
Success: Added move curse to ivysaur
Success: Added move rest to charmeleon
Success: Added move powerwhip to venusaur
Success: Added move magicalleaf to venusaur
Success: Added move takedown to venusaur
Success: Added move flamethrower to charizard
Success: Added move fly to charizard
Success: Added move hyperbeam to venusaur
Success: Added move earthquake to charizard
Success: Added move doubleedge to charizard
Success: Added move terablast to bulbasaur
Success: Added move synthesis to venusaur
Success: Added move sleeptalk to ivysaur
Success: Added move facade to charizard
Success: Added move earthpower to venusaur
Success: Added move synthesis to bulbasaur
Success: Added move terablast to charmander
Success: Added move firespin to charizard
Success: Added move protect to bulbasaur
Success: Added move energyball to ivysaur
Success: Added move frenzyplant to venusaur
Success: Added move leafstorm to ivysaur
